"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"null","null","html-keyboard-response","1630","1252240","0.0-1630.0","","<div class=""circle set""></div>","set","500","","",""
"181"," ","html-keyboard-response","1631","1252422","0.0-1631.0","","","go","","200","181","-19"
"null","null","html-keyboard-response","1632","1252923","0.0-1632.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1633","1253926","0.0-1633.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 271 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1634","1254429","0.0-1634.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1635","1254731","0.0-1635.0","","","isi","","","",""
"null","null","html-keyboard-response","1636","1255233","0.0-1636.0","","<div class=""circle set""></div>","set","500","","",""
"340"," ","html-keyboard-response","1637","1255574","0.0-1637.0","","","go","","300","340","40"
"null","null","html-keyboard-response","1638","1256075","0.0-1638.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1639","1257079","0.0-1639.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 272 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1640","1257581","0.0-1640.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1641","1257983","0.0-1641.0","","","isi","","","",""
"null","null","html-keyboard-response","1642","1258486","0.0-1642.0","","<div class=""circle set""></div>","set","500","","",""
"423"," ","html-keyboard-response","1643","1258910","0.0-1643.0","","","go","","400","423","23"
"null","null","html-keyboard-response","1644","1259411","0.0-1644.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1645","1260415","0.0-1645.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 273 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1646","1260918","0.0-1646.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1647","1261620","0.0-1647.0","","","isi","","","",""
"null","null","html-keyboard-response","1648","1262122","0.0-1648.0","","<div class=""circle set""></div>","set","500","","",""
"608"," ","html-keyboard-response","1649","1262731","0.0-1649.0","","","go","","700","608","-92"
"null","null","html-keyboard-response","1650","1263232","0.0-1650.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1651","1264235","0.0-1651.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 274 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1652","1264737","0.0-1652.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1653","1264939","0.0-1653.0","","","isi","","","",""
"null","null","html-keyboard-response","1654","1265442","0.0-1654.0","","<div class=""circle set""></div>","set","500","","",""
"243"," ","html-keyboard-response","1655","1265686","0.0-1655.0","","","go","","200","243","43"
